stress_subset,subset_label,case_type,selection,description,source,run_name,family,seed,n,prob_pair,prob_pair_sd_within_run,pred_pair_rate,mean_distance,mean_lexical_overlap
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RC-Fusion_seed123,RC-Fusion,123,1489,0.289858284412775,0.3923788345363366,0.2599059771658831,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RC-Fusion_seed123,RC-Fusion,123,92,0.1277725993574637,0.2619752405708963,0.0869565217391304,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RC-Fusion_seed123,RC-Fusion,123,854,0.1071261321189016,0.221618209934447,0.0679156908665105,4.494145199063232,0.0651556467305886
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RC-Fusion_seed42,RC-Fusion,42,1489,0.3147524704983429,0.4164622143214448,0.3069173942243116,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RC-Fusion_seed42,RC-Fusion,42,92,0.1744731572740103,0.3027942777734003,0.1413043478260869,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RC-Fusion_seed42,RC-Fusion,42,854,0.1291155533175871,0.2538879597910647,0.1030444964871194,4.494145199063232,0.0651556467305886
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RC-Fusion_seed456,RC-Fusion,456,1489,0.3008102162301264,0.4340662912716395,0.3015446608462055,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RC-Fusion_seed456,RC-Fusion,456,92,0.1257825330476802,0.304014662978849,0.1195652173913043,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RC-Fusion_seed456,RC-Fusion,456,854,0.1149743274729415,0.2924632332455448,0.1100702576112412,4.494145199063232,0.0651556467305886
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RoBERTa_seed123,RoBERTa,123,1489,0.3493370971285292,0.383411337238851,0.3297515110812626,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RoBERTa_seed123,RoBERTa,123,92,0.1736990096472689,0.2571468613269249,0.1195652173913043,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RoBERTa_seed123,RoBERTa,123,854,0.1468110036822494,0.2239177474829269,0.0854800936768149,4.494145199063232,0.0651556467305886
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RoBERTa_seed42,RoBERTa,42,1489,0.2741845968602221,0.4147014508908522,0.2666218938885157,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RoBERTa_seed42,RoBERTa,42,92,0.1347339605310243,0.3159139788721886,0.1304347826086956,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RoBERTa_seed42,RoBERTa,42,854,0.0917812611692883,0.2492919239574899,0.0772833723653395,4.494145199063232,0.0651556467305886
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RoBERTa_seed456,RoBERTa,456,1489,0.2835237416582616,0.4144203530426389,0.2726662189388851,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RoBERTa_seed456,RoBERTa,456,92,0.1075776965286501,0.2787667019468045,0.0978260869565217,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RoBERTa_seed456,RoBERTa,456,854,0.0776831515660112,0.2253005635529984,0.063231850117096,4.494145199063232,0.0651556467305886
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RWC-Fusion_seed123,RWC-Fusion,123,1489,0.3060060326453133,0.370288125895124,0.2874412357286769,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RWC-Fusion_seed123,RWC-Fusion,123,92,0.1687684495649908,0.190198491600535,0.0869565217391304,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RWC-Fusion_seed123,RWC-Fusion,123,854,0.1459483324583626,0.1985707301648812,0.0679156908665105,4.494145199063232,0.0651556467305886
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RWC-Fusion_seed42,RWC-Fusion,42,1489,0.2741209824373947,0.4275652078585596,0.2726662189388851,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RWC-Fusion_seed42,RWC-Fusion,42,92,0.1043695537237394,0.292192399348898,0.0978260869565217,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RWC-Fusion_seed42,RWC-Fusion,42,854,0.1022557566634883,0.280043267397684,0.0983606557377049,4.494145199063232,0.0651556467305886
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RWC-Fusion_seed456,RWC-Fusion,456,1489,0.3196624955498107,0.4370392575537545,0.3210208193418402,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RWC-Fusion_seed456,RWC-Fusion,456,92,0.1675286103513233,0.3509969426446218,0.1630434782608695,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RWC-Fusion_seed456,RWC-Fusion,456,854,0.1082875081542975,0.2654093312012905,0.0936768149882904,4.494145199063232,0.0651556467305886
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RW-Fusion_seed123,RW-Fusion,123,1489,0.2811918902622371,0.3805579554347475,0.2726662189388851,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RW-Fusion_seed123,RW-Fusion,123,92,0.1566393365374887,0.2386549784302135,0.108695652173913,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RW-Fusion_seed123,RW-Fusion,123,854,0.1097227099939931,0.1911656910499439,0.0573770491803278,4.494145199063232,0.0651556467305886
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RW-Fusion_seed42,RW-Fusion,42,1489,0.281876937751816,0.4269250280744064,0.2766957689724647,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RW-Fusion_seed42,RW-Fusion,42,92,0.1243098615380839,0.3023180133722579,0.1195652173913043,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RW-Fusion_seed42,RW-Fusion,42,854,0.1002857936095676,0.2683855820524172,0.0889929742388758,4.494145199063232,0.0651556467305886
local_lexical_non_pair,Local lexical non-pair,shortcut_supported_unsupported,final_gold == non_pair; distance <= 1; lexical_overlap > 0,Local/lexically overlapping candidates that remain final non-pairs.,binary,RW-Fusion_seed456,RW-Fusion,456,1489,0.3119214259641891,0.3794868267963418,0.2995298858294157,0.2592343854936199,0.7759841266151614
long_distance_emo_cause,Long-distance cause,evidence_supported_shortcut_conflict,final_gold == emo_cause; distance >= 6,Direct causes whose distance conflicts with locality shortcuts.,binary,RW-Fusion_seed456,RW-Fusion,456,92,0.159896845706617,0.2226384647379033,0.0869565217391304,9.554347826086955,0.0656658704774509
source_nonpair_emo_context,Original-negative context,evidence_supported_shortcut_conflict,source_binary_gold == non_pair; final_gold == emo_context,Contextual support inherited from the original negative side.,binary,RW-Fusion_seed456,RW-Fusion,456,854,0.1360243342461585,0.20362274146942,0.0702576112412178,4.494145199063232,0.0651556467305886
