split,label,label_source,count
test,emo_cause,taxonomy_gpt55_xhigh,719
test,emo_cause,human_judge:emo_cause_no_context_single_cause_human_review_2082_targets_2082_pairs.csv,485
test,emo_cause,human_judge:emo_cause_no_context_multi_cause_human_review_1211_targets_2678_pairs.csv,455
test,emo_cause,human_judge:orig_non_pair_to_emo_cause_human_review_2517.csv,48
test,emo_cause,human_judge:zz_recover_no_cause_targets_from_original_labels_188_targets_306_pairs.csv,41
test,emo_cause,human_judge:orig_pair_to_emo_context_human_review_724.csv,28
test,emo_cause,human_judge:orig_pair_to_non_pair_human_review_2138.csv,18
test,emo_context,human_judge:orig_non_pair_to_emo_context_human_review_2975.csv,693
test,emo_context,human_judge:emo_cause_no_context_single_cause_add_emo_context_human_review_448.csv,133
test,emo_context,human_judge:orig_pair_to_emo_context_human_review_724.csv,62
test,emo_context,human_judge:emo_cause_no_context_multi_cause_human_review_1211_targets_2678_pairs.csv,49
test,emo_context,human_judge:orig_non_pair_to_emo_cause_human_review_2517.csv,29
test,emo_context,human_judge:zz_recover_no_cause_targets_from_original_labels_188_targets_306_pairs.csv,22
test,emo_context,human_judge:orig_pair_to_non_pair_human_review_2138.csv,9
test,non_pair,default_non_pair,14738
test,non_pair,human_judge:orig_non_pair_to_emo_cause_human_review_2517.csv,398
test,non_pair,human_refine:test-del.csv,244
test,non_pair,human_refine:unique_emo_context_dist3-del.csv,41
test,non_pair,human_refine:unique_emo_context_dist4-del.csv,30
test,non_pair,human_refine:unique_emo_context_dist5-del.csv,10
test,non_pair,human_refine:test_context_count_3-del.csv,4
test,non_pair,human_judge:orig_pair_to_non_pair_human_review_2138.csv,3
test,non_pair,human_judge:orig_non_pair_to_emo_context_human_review_2975.csv,2
test,non_pair,human_refine:test_context_count_2_3_4_5-del.csv,1
test,non_pair,human_refine:test_context_count_4-del.csv,1
test,non_pair,human_refine:test_context_count_5-del.csv,1
train,emo_cause,taxonomy_gpt55_xhigh,2419
train,emo_cause,human_judge:emo_cause_no_context_multi_cause_human_review_1211_targets_2678_pairs.csv,1561
train,emo_cause,human_judge:emo_cause_no_context_single_cause_human_review_2082_targets_2082_pairs.csv,1186
train,emo_cause,human_judge:orig_non_pair_to_emo_cause_human_review_2517.csv,128
train,emo_cause,human_judge:zz_recover_no_cause_targets_from_original_labels_188_targets_306_pairs.csv,117
train,emo_cause,human_judge:orig_pair_to_non_pair_human_review_2138.csv,58
train,emo_cause,human_judge:orig_pair_to_emo_context_human_review_724.csv,28
train,emo_cause,gpt_second_pass:Ses01F_impro05__c005.csv,1
train,emo_cause,gpt_second_pass:Ses01M_impro04__c003.csv,1
train,emo_context,human_judge:orig_non_pair_to_emo_context_human_review_2975.csv,1804
train,emo_context,human_judge:orig_pair_to_emo_context_human_review_724.csv,277
train,emo_context,human_judge:emo_cause_no_context_single_cause_add_emo_context_human_review_448.csv,249
train,emo_context,human_judge:emo_cause_no_context_multi_cause_human_review_1211_targets_2678_pairs.csv,127
train,emo_context,human_judge:zz_recover_no_cause_targets_from_original_labels_188_targets_306_pairs.csv,76
train,emo_context,human_judge:orig_non_pair_to_emo_cause_human_review_2517.csv,64
train,emo_context,human_judge:orig_pair_to_non_pair_human_review_2138.csv,33
train,non_pair,default_non_pair,43796
train,non_pair,human_judge:orig_non_pair_to_emo_cause_human_review_2517.csv,1381
train,non_pair,human_judge:orig_pair_to_non_pair_human_review_2138.csv,13
train,non_pair,human_judge:orig_non_pair_to_emo_context_human_review_2975.csv,4
valid,emo_cause,taxonomy_gpt55_xhigh,491
valid,emo_cause,human_judge:emo_cause_no_context_multi_cause_human_review_1211_targets_2678_pairs.csv,412
valid,emo_cause,human_judge:emo_cause_no_context_single_cause_human_review_2082_targets_2082_pairs.csv,330
valid,emo_cause,human_judge:orig_non_pair_to_emo_cause_human_review_2517.csv,37
valid,emo_cause,human_judge:zz_recover_no_cause_targets_from_original_labels_188_targets_306_pairs.csv,30
valid,emo_cause,human_judge:orig_pair_to_emo_context_human_review_724.csv,22
valid,emo_cause,human_judge:orig_pair_to_non_pair_human_review_2138.csv,20
valid,emo_context,human_judge:orig_non_pair_to_emo_context_human_review_2975.csv,472
valid,emo_context,human_judge:orig_pair_to_emo_context_human_review_724.csv,93
valid,emo_context,human_judge:emo_cause_no_context_single_cause_add_emo_context_human_review_448.csv,66
valid,emo_context,human_judge:emo_cause_no_context_multi_cause_human_review_1211_targets_2678_pairs.csv,25
valid,emo_context,human_judge:orig_non_pair_to_emo_cause_human_review_2517.csv,25
valid,emo_context,human_judge:zz_recover_no_cause_targets_from_original_labels_188_targets_306_pairs.csv,20
valid,emo_context,human_judge:orig_pair_to_non_pair_human_review_2138.csv,18
valid,non_pair,default_non_pair,12115
valid,non_pair,human_judge:orig_non_pair_to_emo_cause_human_review_2517.csv,268
valid,non_pair,human_refine:valid-del.csv,36
valid,non_pair,human_judge:orig_pair_to_non_pair_human_review_2138.csv,8
